"slug","label_ja","label_en","sort_order","valid"
"coffee_cup","コーヒーカップ","Coffee Cup","1","1"
"demitasse_cup","デミタスカップ","Demitasse Cup","2","1"
"donburi","どんぶり","Donburi Bowl","11","1"
"large_bowl","大鉢","Large Bowl","8","1"
"large_plate","大皿","Large Plate","4","1"
"medium_bowl","中鉢","Medium Bowl","9","1"
"medium_plate","中皿","Medium Plate","5","1"
"mosquito_coil_holder","蚊取り線香入れ","Mosquito Coil Holder","12","1"
"other","その他","Other","13","1"
"pasta_plate","パスタ皿","Pasta Plate","7","1"
"small_bowl","小鉢","Small Bowl","10","1"
"small_plate","小皿","Small Plate","6","1"
"soup_cup","スープカップ","Soup Cup","3","1"
